team_id,gm,start_season,end_season,source,url,retrieved,note
MEM,Zach Kleiman,2019-20,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
MIA,Andy Elisburg,2013-14,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
MIL,Jon Horst,2017-18,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
MIN,Matt Lloyd,2024-25,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
NOP,Troy Weaver,2025-26,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
NYK,Gersson Rosas,2023-24,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
OKC,Sam Presti,2007-08,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
ORL,Anthony Parker,2023-24,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
PHI,Jameer Nelson,2026-27,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
PHX,Brian Gregory,2025-26,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
POR,Joe Cronin,2021-22,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
SAC,Scott Perry,2025-26,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
SAS,Brian Wright,2019-20,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
TOR,Bobby Webster,2017-18,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
UTA,Justin Zanik,2019-20,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
WAS,Will Dawkins,2023-24,,Wikipedia (page updated 2026-07-30),https://en.wikipedia.org/wiki/List_of_National_Basketball_Association_general_managers,2026-08-03,"start granularity is a YEAR on the sourced page; convention: credited from the season starting that calendar year. Predecessors are not on the page, so earlier team-seasons are UNATTRIBUTABLE, not guessed."
